Text,Category
goldsmith denies war advice claim attorney general denied statement parliament legality iraq war drafted downing street official . lord goldsmith said lord falconer baroness morgan played part drafting answer . added answer represented view war legal summary advice pm . government resisted call publish full advice saying paper always kept confidential . statement lord goldsmith said fully involved throughout drafting process personally finalised course approved answer . said answer prepared office involvement solicitor general harriet harman two official three foreign office official qc christopher greenwood lord chancellor lord irvine lairg . minister official involved way . suggested claim lord falconer lady morgan drafted answer result mi transcription evidence butler inquiry pre war intelligence . always made clear set answer genuinely held independent view military action lawful existing un security council resolution said . answer purport summary confidential legal advice government . former foreign secretary robin cook said lord goldsmith admission parliamentary answer summary legal opinion suggested parliament may misled . attorney general may never presented answer summary others certainly said . clear statement today believe full accurate summary formal opinion . earlier tony blair dismissed question attorney general advice said parliamentary statement fair summary opinion . lord goldsmith said say . dealt time time time mr blair told monthly news conference downing street . refused answer question issue . question whether paper always kept confidential tory mp michael mate member common intelligence security committee part butler inquiry told bbc general rule right absolute rule . said occasion advice published recently regarding prince charles marriage plan . government could pick choose use convention said . mr mate added may one special occasion ... would public interest see advice attorney general gave prime minister . claim lord falconer baroness morgan involvement made book published week philippe sand qc member cherie blair matrix chamber . also say lord goldsmith warned tony blair 7 march 2003 iraq war could illegal without second un resolution sanctioning military action . short statement lord goldsmith position presented written parliamentary answer 17 march 2003 crucial common vote military action suggest . former minister clare short resigned government iraq war said ministerial answer statement earlier shown cabinet discussed military action . said full advice attached according ministerial code demanded lord inquiry matter . conservative liberal democrat say still want publication full legal advice given attorney general . lib dem foreign affair spokesman sir menzies campbell said lord goldsmith statement still clear outstanding issue . original advice 7 march accepted military action might illegal resolved doubt time parliamentary answer published 17 march said . fullest disclosure .,politics
beckham relief real go david beckham expressed relief real madrid passage champion league knockout phase . real 3 0 win rom england skipper admitted another season achievement would tolerated bernabeu stadium . beckham said expected madrid get relief club player . lost momentum last season afford go another season without winning anything . real finish runner champion league group mean face old club manchester united next round . real could drawn premiership hopeful arsenal chelsea respective group . going great whoever play even get either two english team .,sport
isinbayeva claim new world best pole vaulter yelena isinbayeva broke indoor world record clearing 4.89 metre lievin saturday . russian 12th world record career came day cleared 4.88m norwich union grand prix birmingham . olympic champion went attempt 5.05m meeting france failed clear height . men 60m former olympic 100m champion maurice greene could finish second leonard scott . greene second consecutive defeat hand fellow american also birmingham last week . ran race perfectly said scott 6.46secs best time indoors . happy even know maurice long way peak start season .,sport
window worm travel tetri user warned window virus pose hugely popular tetri game . cellery worm installs playable version classic falling block game pc infected . user play game worm spends time using machine search new victim infect nearby network . risk infection cellery thought low copy worm found wild . cellery worm spread via e mail like many virus . instead browse computer network pc shut insecure way connect machine . infects machine cellery installs version tetri user play . game start worm also start music file accompany . time virus start scouring network vulnerable machine . virus damage machine heavily infected network could slow scanning traffic build . productivity may suffer user spend time playing tetri . pc running window 95 98 nt 2000 xp could vulnerable worm . company culture allowing game played office staff may believe simply new game installed rather something cause concern said graham cluley spokesman anti virus firm sophos . far number people infected cellery thought small risk infection low . sophos urged user company update anti virus software keep protected .,tech
savvy searcher fail spot ad internet search engine user odd mix naive sophisticated suggests report search habit . report u pew research center reveals 87 searcher usually find looking using search engine . also show spot difference paid result organic one . report reveals 84 net user say regularly use google ask jeeves msn yahoo online . almost 50 questioned said would trust search engine much le knew information paid result hidden . according figure gathered pew researcher average user spends 43 minute per month carrying 34 separate search look 1.9 webpage hunt . significant chunk net user 36 carry search least weekly 29 asked look every week . 44 questioned information looking critical information simply find . search engine user also tend loyal found site feel trust tend stick . according pew research 44 searcher use single search engine 48 use two three small number 7 consult three site . tony macklin spokesman ask jeeves said result reflected research showed people use different search engine way site gather information mean provide different result query . despite liking search site half questioned said could get information via route . small number 17 said really miss search engine exist . remaining 33 said could live without search site . two third questioned 68 said thought result presented fair unbiased selection information topic found net . alongside growing sophistication net user lack awareness paid result many search engine provide alongside list website found indexing web . asked 62 unaware someone paid result see carry search . 18 searcher say tell result paid . said pew report finding ironic since nearly half user say would stop using search engine thought engine clear presented paid result . commenting mr macklin said sponsored result must clearly marked though might help query user testing showed people need able spot difference .,tech
aviator creator oscar snub man said got oscar nominated movie aviator ground signed leonardo dicaprio shut academy award race . charles evans jr battled role people eventually made film producer credit . list producer win best film oscar due limit number nominee . oscar organiser picked two aviator four producer nominated best film . three producer named per film studio behind aviator million dollar baby failed trim credit academy motion picture art science ampas done . aviator nominated producer michael mann graham king mr evans sandy climan mr mann former deputy left . mr evans sued mr mann 2001 claiming came idea spent year developing persuaded dicaprio play hughes said later excluded project . two side settled court deal remained secret apart fact mr evans name appeared producer film credit roll . golden globe mr evans named among winner film best drama film evaded security guard photo taken dicaprio director martin scorsese mr mann mr king . ampas decided limit number producer could nominated shakespeare love victory 1999 saw five producer collect award . eligible name aviator million dollar baby decided ampas producer branch executive committee wednesday . decision also saw clint eastwood get third personal nomination million dollar baby . named best film category well nominated best director best lead actor . academy award ceremony held hollywood 27 february . chinese actress ziyi zhang star crouching tiger hidden dragon hero house flying dagger latest name added list presenter night .,entertainment
bush website blocked outside u surfer outside u unable visit official election site president george w bush . blocking browser sited outside u began early hour monday morning . since people outside u trying browse site get message saying authorised view . blocking appear due attack vandal malicious hacker result policy decision bush camp . international exclusion zone around georgewbush.com spotted net monitoring firm netcraft keep eye traffic pattern across many different site . netcraft said since early hour 25 october attempt view site monitoring station london amsterdam sydney failed . contrast netcraft four monitoring station u managed view site problem . site still seen using anonymous proxy service based u . web user canada also report browse site . pattern traffic website suggests blocking due attack vandal politically motivated hacker . geographic blocking work numerical address net us organise handed regional basis . 21 october george w bush website began using service company called akamai ensure page video content site reach visitor . mike prettejohn president netcraft speculated blocking decision might taken cut cost traffic run election 2 november . said site may see reason distribute content people voting next week . managing traffic could also good way ensure site stay working closing day election campaign . however simply blocking non u visitor also mean american overseas barred . akamai declined comment saying could talk customer website .,tech
prime minister question anyone playing politics security nation michael howard doubt prime minister claim ramming parliament controversial new anti terror measure without proper debate . say tory believe prime minister playing fear card one look tough run general election believe tony blair using issue suggest tory soft terrorism . earth prime minister simply take tory offer extend existing power temporarily allow proper parliamentary debate law demanded . prime minister claim clearest indication tory playing politics issue attempting score cheap political point parliament . opposition proposed law principle case delaying decision debate would pointless really belief mr blair tory spotting opportunity embarrass maybe even defeat government . important national security . liberal democrat leader charles kennedy avoided suggesting anyone playing politics issue . preferred state issue like id card government immediate instinct authoritarian . habit nowadays prime minister le rough mr kennedy mr howard prefers exasperated tone suggesting belief lib dems missed point . apart electioneering usual . first question prime minister derby north bob laxton asked effect would carry excellent policy pouring resource school . later birmingham sion simon even went far suggest tory shower general election . prime minister almost blushed . appropriate place announce election day stammered . anyone doubt announcement day away announcement coming week beginning 4 april election 5 may big money common . perhaps simple fact alone mean everyone seen playing politics everything moment .,politics
mp shock long lost daughter labour mp stephen pound told shock joy learning fathered daughter control wild 1960s . lucy 36 tracked mr pound birth mother told known precious school . despite told nutter died sea found reference mr pound friend reunited . lucy mother kept pregnancy secret adopted four week . mr pound found last year . happened lucy wrote parliamentary office saying believed father . mr pound married two teenage child said nutter sailor dead . said first reaction wonder victim set realised date fitted . pretty horrible thing pretty happy ending . felt guilt marrow bone said ealing north mp . blame lucy mother . pretty much control . 18 conceived . different time pretty wild . mr pound say rang lucy soon got letter met contact ever since . describing first meeting london king cross station said earth went foot ... walking across euston road took arm take across immediate connection . finishing sentence . lucy adopted family essex want remain anonymous sake adoptive father child . mr pound said wife maggie fully supportive two child emily 16 pelham 14 pleased older sister .,politics
english club make euro history four england champion league representative reached knockout stage first time . arsenal chelsea seeded group winner runner manchester united liverpool . rule stipulate team country group kept apart draw 17 december . favourite chelsea barcelona real madrid two milan side juventus bayern munich among 16 still hat . steven gerrard last gasp wonder strike secured qualification olympiakos wednesday evening . ac milan bayer leverkusen internazionale juventus lyon . already qualified fielded second string side went 3 0 fenerbahce . ac milan bayer leverkusen internazionale juventus monaco . tuesday finished top group 5 1 win rosenborg drawing four first five match . barcelona bayern munich porto real madrid werder bremen already qualified lost 2 1 porto jose mourinho made unhappy return former club . barcelona bayern munich psv eindhoven real madrid werder bremen .,sport
